,bufcap,bandwidth,rtt,cc,retx_
617,100,250,5,cubic,2154.0
618,100,250,75,bbr,55446.0
619,100,250,75,cubic,1794.0
620,100,250,75,bbr,54529.0
621,100,250,75,cubic,1754.0
622,100,250,75,bbr,58547.0
623,100,250,75,cubic,1760.0
624,100,500,100,bbr,144289.0
625,100,500,100,cubic,1707.0
626,100,500,100,bbr,126317.0
627,100,500,100,cubic,1621.0
628,100,500,100,bbr,151518.0
629,100,500,100,cubic,1663.0
630,100,500,10,bbr,146468.0
631,100,500,10,cubic,2338.0
632,100,500,10,bbr,147783.0
633,100,500,10,cubic,1690.0
634,100,500,10,bbr,149684.0
635,100,500,10,cubic,1951.0
636,100,500,150,bbr,138027.0
637,100,500,150,cubic,1636.0
638,100,500,150,bbr,146946.0
639,100,500,150,cubic,1658.0
640,100,500,150,bbr,141619.0
641,100,500,150,cubic,1457.0
642,100,500,200,bbr,115101.0
643,100,500,200,cubic,1529.0
644,100,500,200,bbr,120046.0
645,100,500,200,cubic,1600.0
646,100,500,200,bbr,106447.0
647,100,500,200,cubic,1658.0
648,100,500,25,bbr,128818.0
649,100,500,25,cubic,994.0
650,100,500,25,bbr,125410.0
651,100,500,25,cubic,1692.0
652,100,500,25,bbr,138783.0
653,100,500,25,cubic,1944.0
654,100,500,50,bbr,124941.0
655,100,500,50,cubic,1701.0
656,100,500,50,bbr,126415.0
657,100,500,50,cubic,1791.0
658,100,500,50,bbr,135400.0
659,100,500,50,cubic,1682.0
660,100,500,5,bbr,216751.0
661,100,500,5,cubic,2231.0
662,100,500,5,bbr,215370.0
663,100,500,5,cubic,2899.0
664,100,500,5,bbr,213362.0
665,100,500,5,cubic,2048.0
666,100,500,75,bbr,123842.0
667,100,500,75,cubic,1762.0
668,100,500,75,bbr,142106.0
669,100,500,75,cubic,1738.0
670,100,500,75,bbr,128690.0
671,100,500,75,cubic,1991.0
672,100,50,100,bbr,18792.0
673,100,50,100,cubic,2150.0
674,100,50,100,bbr,17814.0
675,100,50,100,cubic,2249.0
676,100,50,100,bbr,17622.0
677,100,50,100,cubic,2057.0
678,100,50,10,bbr,7630.0
679,100,50,10,cubic,1686.0
680,100,50,10,bbr,7730.0
681,100,50,10,cubic,1673.0
682,100,50,10,bbr,7709.0
683,100,50,10,cubic,1685.0
684,100,50,150,bbr,20257.0
685,100,50,150,cubic,1525.0
